#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
1,06/21/2025 17:36:00,5.92,Logged,,,,
2,06/21/2025 17:37:00,6.13,,,,,
3,06/21/2025 17:38:00,6.26,,,,,
4,06/21/2025 17:39:00,6.26,,,,,
5,06/21/2025 17:40:00,6.13,,,,,
6,06/21/2025 17:41:00,6.17,,,,,
7,06/21/2025 17:42:00,6.13,,,,,
8,06/21/2025 17:43:00,6.22,,,,,
9,06/21/2025 17:44:00,6.22,,,,,
10,06/21/2025 17:45:00,6.26,,,,,
11,06/21/2025 17:46:00,6.26,,,,,
12,06/21/2025 17:47:00,6.22,,,,,
13,06/21/2025 17:48:00,6.30,,,,,
14,06/21/2025 17:49:00,6.35,,,,,
15,06/21/2025 17:50:00,6.30,,,,,
16,06/21/2025 17:51:00,6.22,,,,,
17,06/21/2025 17:52:00,6.17,,,,,
18,06/21/2025 17:53:00,6.00,,,,,
19,06/21/2025 17:54:00,6.09,,,,,
20,06/21/2025 17:55:00,6.00,,,,,
21,06/21/2025 17:56:00,5.96,,,,,
22,06/21/2025 17:57:00,5.87,,,,,
23,06/21/2025 17:58:00,5.92,,,,,
24,06/21/2025 17:59:00,5.96,,,,,
25,06/21/2025 18:00:00,6.00,,,,,
26,06/21/2025 18:01:00,6.05,,,,,
27,06/21/2025 18:02:00,6.05,,,,,
28,06/21/2025 18:03:00,6.13,,,,,
29,06/21/2025 18:04:00,6.22,,,,,
30,06/21/2025 18:05:00,6.26,,,,,
31,06/21/2025 18:06:00,6.26,,,,,
32,06/21/2025 18:07:00,6.22,,,,,
33,06/21/2025 18:08:00,6.13,,,,,
34,06/21/2025 18:09:00,6.09,,,,,
35,06/21/2025 18:10:00,6.05,,,,,
36,06/21/2025 18:11:00,6.09,,,,,
37,06/21/2025 18:12:00,6.13,,,,,
38,06/21/2025 18:13:00,6.30,,,,,
39,06/21/2025 18:14:00,6.39,,,,,
40,06/21/2025 18:15:00,6.52,,,,,
41,06/21/2025 18:16:00,6.60,,,,,
42,06/21/2025 18:17:00,6.65,,,,,
43,06/21/2025 18:18:00,6.60,,,,,
44,06/21/2025 18:19:00,6.65,,,,,
45,06/21/2025 18:20:00,6.65,,,,,
46,06/21/2025 18:21:00,6.69,,,,,
47,06/21/2025 18:22:00,6.73,,,,,
48,06/21/2025 18:23:00,6.73,,,,,
49,06/21/2025 18:24:00,6.82,,,,,
50,06/21/2025 18:25:00,6.86,,,,,
51,06/21/2025 18:26:00,6.86,,,,,
52,06/21/2025 18:27:00,6.90,,,,,
53,06/21/2025 18:28:00,6.90,,,,,
54,06/21/2025 18:29:00,6.95,,,,,
55,06/21/2025 18:30:00,6.90,,,,,
56,06/21/2025 18:31:00,6.95,,,,,
57,06/21/2025 18:32:00,6.90,,,,,
58,06/21/2025 18:33:00,6.90,,,,,
59,06/21/2025 18:34:00,6.86,,,,,
60,06/21/2025 18:35:00,6.82,,,,,
61,06/21/2025 18:36:00,6.73,,,,,
62,06/21/2025 18:37:00,6.69,,,,,
63,06/21/2025 18:38:00,6.60,,,,,
64,06/21/2025 18:39:00,6.48,,,,,
65,06/21/2025 18:40:00,6.35,,,,,
66,06/21/2025 18:41:00,6.22,,,,,
