"Plot Title: 9668113"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 9668113, SEN S/N: 9668113)","Intensity, lum/ft² (LGR S/N: 9668113, SEN S/N: 9668113)","Coupler Attached (LGR S/N: 9668113, SEN S/N: 9668113)","Coupler Detached (LGR S/N: 9668113, SEN S/N: 9668113)","Host Connected (LGR S/N: 9668113, SEN S/N: 9668113)","Stopped (LGR S/N: 9668113, SEN S/N: 9668113)","End Of File (LGR S/N: 9668113, SEN S/N: 9668113)"
1,06/15/25 08:00:00 AM,58.476,116.0,,,,,
2,06/15/25 08:05:00 AM,59.680,128.0,,,,,
3,06/15/25 08:10:00 AM,60.883,83.0,,,,,
4,06/15/25 08:15:00 AM,63.282,0.0,,,,,
5,06/15/25 08:20:00 AM,64.652,0.0,,,,,
6,06/15/25 08:25:00 AM,63.968,0.0,,,,,
7,06/15/25 08:30:00 AM,62.769,0.0,,,,,
8,06/15/25 08:35:00 AM,61.569,0.0,,,,,
9,06/15/25 08:40:00 AM,60.712,0.0,,,,,
10,06/15/25 08:45:00 AM,59.851,0.0,,,,,
11,06/15/25 08:50:00 AM,58.993,0.0,,,,,
12,06/15/25 08:55:00 AM,58.303,0.0,,,,,
13,06/15/25 09:00:00 AM,57.614,0.0,,,,,
14,06/15/25 09:05:00 AM,56.923,0.0,,,,,
15,06/15/25 09:10:00 AM,56.404,0.0,,,,,
16,06/15/25 09:15:00 AM,55.711,0.0,,,,,
17,06/15/25 09:20:00 AM,55.189,0.0,,,,,
18,06/15/25 09:25:00 AM,54.495,0.0,,,,,
19,06/15/25 09:30:00 AM,53.973,0.0,,,,,
20,06/15/25 09:35:00 AM,53.449,0.0,,,,,
21,06/15/25 09:40:00 AM,53.100,0.0,,,,,
22,06/15/25 09:45:00 AM,52.576,0.0,,,,,
23,06/15/25 09:50:00 AM,52.050,0.0,,,,,
24,06/15/25 09:55:00 AM,51.699,0.0,,,,,
25,06/15/25 10:00:00 AM,51.346,0.0,,,,,
26,06/15/25 10:05:00 AM,50.819,0.0,,,,,
27,06/15/25 10:10:00 AM,50.466,0.0,,,,,
28,06/15/25 10:15:00 AM,50.113,0.0,,,,,
29,06/15/25 10:20:00 AM,49.937,0.0,,,,,
30,06/15/25 10:25:00 AM,49.582,0.0,,,,,
31,06/15/25 10:30:00 AM,49.228,0.0,,,,,
32,06/15/25 10:35:00 AM,48.871,0.0,,,,,
33,06/15/25 10:40:00 AM,48.695,0.0,,,,,
34,06/15/25 10:45:00 AM,48.517,0.0,,,,,
35,06/15/25 10:50:00 AM,48.160,0.0,,,,,
36,06/15/25 10:55:00 AM,47.982,0.0,,,,,
37,06/15/25 11:00:00 AM,47.802,0.0,,,,,
38,06/15/25 11:05:00 AM,47.802,7424.0,,,,,
39,06/15/25 11:10:00 AM,60.883,20480.0,,,,,
40,06/15/25 11:15:00 AM,66.193,2304.0,,,,,
41,06/15/25 11:20:00 AM,76.181,20480.0,,,,,
42,06/15/25 11:25:00 AM,79.678,23552.0,,,,,
43,06/15/25 11:30:00 AM,82.152,22528.0,,,,,
44,06/15/25 11:35:00 AM,81.797,22528.0,,,,,
45,06/15/25 11:40:00 AM,83.935,22528.0,,,,,
46,06/15/25 11:45:00 AM,84.474,23552.0,,,,,
47,06/15/25 11:50:00 AM,83.221,23552.0,,,,,
48,06/15/25 11:55:00 AM,80.911,23552.0,,,,,
49,06/15/25 12:00:00 PM,79.678,23552.0,,,,,
50,06/15/25 12:05:00 PM,79.678,23552.0,,,,,
51,06/15/25 12:10:00 PM,80.029,23552.0,,,,,
52,06/15/25 12:15:00 PM,81.797,23552.0,,,,,
53,06/15/25 12:20:00 PM,82.508,23552.0,,,,,
54,06/15/25 12:25:00 PM,83.399,23552.0,,,,,
55,06/15/25 12:30:00 PM,83.757,23552.0,,,,,
56,06/15/25 12:35:00 PM,85.014,23552.0,,,,,
57,06/15/25 12:40:00 PM,93.304,23552.0,,,,,
58,06/15/25 12:45:00 PM,85.374,23552.0,,,,,
59,06/15/25 12:50:00 PM,87.368,23552.0,,,,,
60,06/15/25 12:55:00 PM,86.823,23552.0,,,,,
61,06/15/25 01:00:00 PM,84.654,23552.0,,,,,
62,06/15/25 01:05:00 PM,83.579,23552.0,,,,,
63,06/15/25 01:10:00 PM,80.911,23552.0,,,,,
64,06/15/25 01:15:00 PM,79.151,23552.0,,,,,
65,06/15/25 01:20:00 PM,79.678,23552.0,,,,,
66,06/15/25 01:25:00 PM,82.508,23552.0,,,,,
67,06/15/25 01:30:00 PM,82.152,22528.0,,,,,
68,06/15/25 01:35:00 PM,81.621,22528.0,,,,,
69,06/15/25 01:40:00 PM,82.152,22528.0,,,,,
70,06/15/25 01:45:00 PM,84.295,22528.0,,,,,
71,06/15/25 01:50:00 PM,83.043,16384.0,,,,,
72,06/15/25 01:55:00 PM,68.934,103.0,,,,,
73,06/15/25 02:00:00 PM,64.652,97.0,,,,,
74,06/15/25 02:05:00 PM,61.398,107.0,,,,,
75,06/15/25 02:10:00 PM,59.337,98.0,,,,,
76,06/15/25 02:15:00 PM,57.958,94.0,,,,,
77,06/15/25 02:20:00 PM,56.404,85.0,,,,,
78,06/15/25 02:25:00 PM,55.189,94.0,,,,,
79,06/15/25 02:30:00 PM,55.017,95.0,,,,,
80,06/15/25 02:35:00 PM,54.842,86.0,,,,,
81,06/15/25 02:40:00 PM,54.669,78.0,,,,,
82,06/15/25 02:45:00 PM,55.017,39.0,,,,,
83,06/15/25 02:50:00 PM,55.189,39.0,,,,,
84,06/15/25 02:55:00 PM,55.189,16.0,,,,,
85,06/15/25 03:00:00 PM,55.189,16.0,,,,,
86,06/15/25 03:05:00 PM,55.017,16.0,,,,,
87,06/15/25 03:10:00 PM,55.537,0.0,,,,,
88,06/15/25 03:15:00 PM,56.923,0.0,,,,,
89,06/15/25 03:20:00 PM,57.785,0.0,,,,,
90,06/15/25 03:25:00 PM,58.647,0.0,,,,,
91,06/15/25 03:30:00 PM,59.337,17.0,,,,,
92,06/15/25 03:35:00 PM,58.131,43.0,,,,,
93,06/15/25 03:40:00 PM,58.131,0.0,,,,,
94,06/15/25 03:45:00 PM,58.647,0.0,,,,,
95,06/15/25 03:50:00 PM,57.958,0.0,,,,,
96,06/15/25 03:55:00 PM,55.364,0.0,,,,,
97,06/15/25 04:00:00 PM,52.401,0.0,,,,,
98,06/15/25 04:05:00 PM,50.466,0.0,,,,,
99,06/15/25 04:10:00 PM,47.802,0.0,,,,,
100,06/15/25 04:15:00 PM,45.104,0.0,,,,,
101,06/15/25 04:20:00 PM,43.282,0.0,,,,,
102,06/15/25 04:25:00 PM,42.363,0.0,,,,,
103,06/15/25 04:30:00 PM,41.625,0.0,,,,,
104,06/15/25 04:35:00 PM,40.696,0.0,,,,,
105,06/15/25 04:40:00 PM,40.134,0.0,,,,,
106,06/15/25 04:45:00 PM,39.196,0.0,,,,,
107,06/15/25 04:50:00 PM,38.061,0.0,,,,,
108,06/15/25 04:55:00 PM,37.107,0.0,,,,,
109,06/15/25 05:00:00 PM,36.723,0.0,,,,,
110,06/15/25 05:05:00 PM,37.488,0.0,,,,,
111,06/15/25 05:10:00 PM,37.870,0.0,,,,,
112,06/15/25 05:15:00 PM,37.107,0.0,,,,,
113,06/15/25 05:20:00 PM,36.338,0.0,,,,,
114,06/15/25 05:25:00 PM,36.338,0.0,,,,,
115,06/15/25 05:30:00 PM,36.531,0.0,,,,,
116,06/15/25 05:35:00 PM,36.723,0.0,,,,,
117,06/15/25 05:40:00 PM,36.338,0.0,,,,,
118,06/15/25 05:45:00 PM,36.145,0.0,,,,,
119,06/15/25 05:50:00 PM,35.951,0.0,,,,,
120,06/15/25 05:55:00 PM,34.394,0.0,,,,,
121,06/15/25 06:00:00 PM,34.590,0.0,,,,,
122,06/15/25 06:05:00 PM,34.394,0.0,,,,,
123,06/15/25 06:10:00 PM,34.394,0.0,,,,,
124,06/15/25 06:15:00 PM,34.394,0.0,,,,,
125,06/15/25 06:20:00 PM,34.394,0.0,,,,,
126,06/15/25 06:25:00 PM,34.590,0.0,,,,,
127,06/15/25 06:30:00 PM,34.786,0.0,,,,,
128,06/15/25 06:35:00 PM,34.981,0.0,,,,,
129,06/15/25 06:40:00 PM,34.981,0.0,,,,,
130,06/15/25 06:45:00 PM,35.175,0.0,,,,,
131,06/15/25 06:50:00 PM,35.175,0.0,,,,,
132,06/15/25 06:55:00 PM,35.175,0.0,,,,,
133,06/15/25 07:00:00 PM,35.370,0.0,,,,,
134,06/15/25 07:05:00 PM,35.175,0.0,,,,,
135,06/15/25 07:10:00 PM,35.175,0.0,,,,,
136,06/15/25 07:15:00 PM,35.175,0.0,,,,,
137,06/15/25 07:20:00 PM,35.175,0.0,,,,,
138,06/15/25 07:25:00 PM,35.175,0.0,,,,,
139,06/15/25 07:30:00 PM,34.981,0.0,,,,,
140,06/15/25 07:35:00 PM,35.175,0.0,,,,,
141,06/15/25 07:40:00 PM,35.370,0.0,,,,,
142,06/15/25 07:45:00 PM,35.564,0.0,,,,,
143,06/15/25 07:50:00 PM,35.758,0.0,,,,,
144,06/15/25 07:55:00 PM,35.564,0.0,,,,,
145,06/15/25 08:00:00 PM,35.175,0.0,,,,,
146,06/15/25 08:05:00 PM,34.786,0.0,,,,,
147,06/15/25 08:10:00 PM,34.590,0.0,,,,,
148,06/15/25 08:15:00 PM,34.590,0.0,,,,,
149,06/15/25 08:20:00 PM,34.590,0.0,,,,,
150,06/15/25 08:25:00 PM,34.590,0.0,,,,,
151,06/15/25 08:30:00 PM,34.394,0.0,,,,,
152,06/15/25 08:35:00 PM,33.805,0.0,,,,,
153,06/15/25 08:40:00 PM,33.411,0.0,,,,,
154,06/15/25 08:45:00 PM,33.411,0.0,,,,,
155,06/15/25 08:50:00 PM,33.411,0.0,,,,,
156,06/15/25 08:55:00 PM,33.607,0.0,,,,,
157,06/15/25 09:00:00 PM,33.607,0.0,,,,,
158,06/15/25 09:05:00 PM,33.411,0.0,,,,,
159,06/15/25 09:10:00 PM,33.411,0.0,,,,,
160,06/15/25 09:15:00 PM,33.411,0.0,,,,,
161,06/15/25 09:20:00 PM,33.411,0.0,,,,,
162,06/15/25 09:25:00 PM,33.411,0.0,,,,,
163,06/15/25 09:30:00 PM,33.411,0.0,,,,,
164,06/15/25 09:35:00 PM,33.411,0.0,,,,,
165,06/15/25 09:40:00 PM,33.411,0.0,,,,,
166,06/15/25 09:45:00 PM,33.411,0.0,,,,,
167,06/15/25 09:50:00 PM,33.411,0.0,,,,,
168,06/15/25 09:55:00 PM,33.411,0.0,,,,,
169,06/15/25 10:00:00 PM,33.607,0.0,,,,,
170,06/15/25 10:05:00 PM,33.607,0.0,,,,,
171,06/15/25 10:10:00 PM,33.607,0.0,,,,,
172,06/15/25 10:15:00 PM,33.607,0.0,,,,,
173,06/15/25 10:20:00 PM,33.607,0.0,,,,,
174,06/15/25 10:25:00 PM,33.607,0.0,,,,,
175,06/15/25 10:30:00 PM,33.805,0.0,,,,,
176,06/15/25 10:35:00 PM,33.805,0.0,,,,,
177,06/15/25 10:40:00 PM,33.805,0.0,,,,,
178,06/15/25 10:45:00 PM,33.805,0.0,,,,,
179,06/15/25 10:50:00 PM,33.805,0.0,,,,,
180,06/15/25 10:55:00 PM,33.805,0.0,,,,,
181,06/15/25 11:00:00 PM,34.002,0.0,,,,,
182,06/15/25 11:05:00 PM,34.002,0.0,,,,,
183,06/15/25 11:10:00 PM,34.002,0.0,,,,,
184,06/15/25 11:15:00 PM,34.002,0.0,,,,,
185,06/15/25 11:20:00 PM,34.198,0.0,,,,,
186,06/15/25 11:25:00 PM,34.198,0.0,,,,,
187,06/15/25 11:30:00 PM,34.198,0.0,,,,,
188,06/15/25 11:35:00 PM,34.198,0.0,,,,,
189,06/15/25 11:40:00 PM,34.394,0.0,,,,,
190,06/15/25 11:45:00 PM,34.590,0.0,,,,,
191,06/15/25 11:50:00 PM,34.590,0.0,,,,,
192,06/15/25 11:55:00 PM,34.590,0.0,,,,,
193,06/16/25 12:00:00 AM,34.590,0.0,,,,,
194,06/16/25 12:05:00 AM,34.590,0.0,,,,,
195,06/16/25 12:10:00 AM,34.590,0.0,,,,,
196,06/16/25 12:15:00 AM,34.590,0.0,,,,,
197,06/16/25 12:20:00 AM,34.786,0.0,,,,,
