1-Wire/iButton Part Number: DS1921G-F5,,
1-Wire/iButton Registration Number: 8900000062500321,,
Is Mission Active?  true,,
Mission Start:  Fri Jul 14 06:19:00 AKDT 2023,,
Sample Rate:  Every 10 minute(s),,
Number of Mission Samples:  909,,
Total Samples:  1475,,
Roll Over Enabled?  true,,
Roll Over Occurred?  Roll over has NOT occurred,,
Active Alarms:  None fired,,
Next Clock Alarm At:  Disabled,,
High Temperature Alarm:  85 �C,,
Low Temperature Alarm:  -40 �C,,
,,
Date/Time,Unit,Value
7/14/2023 6:19,C,13
7/14/2023 6:29,C,11
7/14/2023 6:39,C,11
7/14/2023 6:49,C,11
7/14/2023 6:59,C,12
7/14/2023 7:09,C,12.5
7/14/2023 7:19,C,13
7/14/2023 7:29,C,13.5
7/14/2023 7:39,C,14
7/14/2023 7:49,C,14.5
7/14/2023 7:59,C,14
7/14/2023 8:09,C,14.5
7/14/2023 8:19,C,14.5
7/14/2023 8:29,C,14
7/14/2023 8:39,C,14
7/14/2023 8:49,C,14.5
7/14/2023 8:59,C,16
7/14/2023 9:09,C,18
7/14/2023 9:19,C,19
7/14/2023 9:29,C,18.5
7/14/2023 9:39,C,19
7/14/2023 9:49,C,19
7/14/2023 9:59,C,19.5
7/14/2023 10:09,C,20
7/14/2023 10:19,C,21
7/14/2023 10:29,C,20.5
7/14/2023 10:39,C,21.5
7/14/2023 10:49,C,22
7/14/2023 10:59,C,23
7/14/2023 11:09,C,24
7/14/2023 11:19,C,24.5
7/14/2023 11:29,C,25
7/14/2023 11:39,C,22
7/14/2023 11:49,C,19.5
7/14/2023 11:59,C,17.5
7/14/2023 12:09,C,16.5
7/14/2023 12:19,C,15
7/14/2023 12:29,C,14.5
7/14/2023 12:39,C,14.5
7/14/2023 12:49,C,14.5
7/14/2023 12:59,C,14.5
7/14/2023 13:09,C,14.5
7/14/2023 13:19,C,15
7/14/2023 13:29,C,15.5
7/14/2023 13:39,C,15
7/14/2023 13:49,C,14
7/14/2023 13:59,C,13
7/14/2023 14:09,C,12.5
7/14/2023 14:19,C,12.5
7/14/2023 14:29,C,14
7/14/2023 14:39,C,15
7/14/2023 14:49,C,16
7/14/2023 14:59,C,17
7/14/2023 15:09,C,19.5
7/14/2023 15:19,C,23
7/14/2023 15:29,C,26
7/14/2023 15:39,C,28.5
7/14/2023 15:49,C,30
7/14/2023 15:59,C,30.5
7/14/2023 16:09,C,30
7/14/2023 16:19,C,29
7/14/2023 16:29,C,28.5
7/14/2023 16:39,C,28
7/14/2023 16:49,C,27.5
7/14/2023 16:59,C,26.5
7/14/2023 17:09,C,25.5
7/14/2023 17:19,C,24
7/14/2023 17:29,C,23
7/14/2023 17:39,C,22
7/14/2023 17:49,C,21
7/14/2023 17:59,C,20.5
7/14/2023 18:09,C,19.5
7/14/2023 18:19,C,19
7/14/2023 18:29,C,18
7/14/2023 18:39,C,17.5
7/14/2023 18:49,C,17
7/14/2023 18:59,C,16.5
7/14/2023 19:09,C,16
7/14/2023 19:19,C,16
7/14/2023 19:29,C,15.5
7/14/2023 19:39,C,15
7/14/2023 19:49,C,15
7/14/2023 19:59,C,14.5
7/14/2023 20:09,C,14
7/14/2023 20:19,C,13.5
7/14/2023 20:29,C,13.5
7/14/2023 20:39,C,13
7/14/2023 20:49,C,13
7/14/2023 20:59,C,12.5
7/14/2023 21:09,C,12.5
7/14/2023 21:19,C,12
