1914	7/1/22	9:30:03	18		58.63983 degN
1915	7/1/22	9:45:03	16.5		134.20317 degW
1916	7/1/22	10:00:03	17.1		3507.5 ft
1917	7/1/22	10:15:03	17.4		
1918	7/1/22	10:30:03	15.1		
1919	7/1/22	10:45:03	17.6		
1920	7/1/22	11:00:03	17.1		
1921	7/1/22	11:15:03	17.6		
1922	7/1/22	11:30:03	15.4		
1923	7/1/22	11:45:03	16.3		
1924	7/1/22	12:00:03	17.8		
1925	7/1/22	12:15:03	18.1		
1926	7/1/22	12:30:03	19.9		
1927	7/1/22	12:45:03	21.5		
1928	7/1/22	13:00:03	18.8		
1929	7/1/22	13:15:03	16.7		
1930	7/1/22	13:30:03	16.9		
1931	7/1/22	13:45:03	19.6		
1932	7/1/22	14:00:03	20.2		
1933	7/1/22	14:15:03	18.8		
1934	7/1/22	14:30:03	18.5		
1935	7/1/22	14:45:03	20.5		
1936	7/1/22	15:00:03	18.2		
1937	7/1/22	15:15:03	17		
1938	7/1/22	15:30:03	18.7		
1939	7/1/22	15:45:03	16.3		
1940	7/1/22	16:00:03	18.1		
1941	7/1/22	16:15:03	16.3		
1942	7/1/22	16:30:03	16		
1943	7/1/22	16:45:03	16.5		
1944	7/1/22	17:00:03	15		
1945	7/1/22	17:15:03	13.8		
1946	7/1/22	17:30:03	13.1		
1947	7/1/22	17:45:03	14		
1948	7/1/22	18:00:03	15.2		
1949	7/1/22	18:15:03	13.2		
1950	7/1/22	18:30:03	11		
1951	7/1/22	18:45:03	10.8		
1952	7/1/22	19:00:03	9.6		
1953	7/1/22	19:15:03	8.1		
1954	7/1/22	19:30:03	8.7		
1955	7/1/22	19:45:03	8.3		
1956	7/1/22	20:00:03	6.9		
1957	7/1/22	20:15:03	7.4		
1958	7/1/22	20:30:03	9.3		
1959	7/1/22	20:45:03	7.1		
1960	7/1/22	21:00:03	5.9		
1961	7/1/22	21:15:03	7.1		
1962	7/1/22	21:30:03	6.6		
1963	7/1/22	21:45:03	7.5		
1964	7/1/22	22:00:03	7.4		
1965	7/1/22	22:15:03	6.8		
1966	7/1/22	22:30:03	6.1		
1967	7/1/22	22:45:03	4.8		
1968	7/1/22	23:00:03	7.1		
1969	7/1/22	23:15:03	6		
1970	7/1/22	23:30:03	5.8		
1971	7/1/22	23:45:03	5.6		
1972	7/2/22	0:00:03	5.7		
1973	7/2/22	0:15:03	5.1		
1974	7/2/22	0:30:03	5.5		
1975	7/2/22	0:45:03	4.9		
1976	7/2/22	1:00:03	5.5		
1977	7/2/22	1:15:03	6.5		
1978	7/2/22	1:30:03	5		
1979	7/2/22	1:45:03	6.2		
1980	7/2/22	2:00:03	4.7		
1981	7/2/22	2:15:03	6		
1982	7/2/22	2:30:03	6.3		
1983	7/2/22	2:45:03	5.4		
1984	7/2/22	3:00:03	6.4		
1985	7/2/22	3:15:03	6.4		
1986	7/2/22	3:30:03	4.6		
1987	7/2/22	3:45:03	5.6		
1988	7/2/22	4:00:03	6.3		
1989	7/2/22	4:15:03	6.3		
1990	7/2/22	4:30:03	5		
1991	7/2/22	4:45:03	5.9		
1992	7/2/22	5:00:03	6		
1993	7/2/22	5:15:03	5.3		
1994	7/2/22	5:30:03	6.5		
1995	7/2/22	5:45:03	8.3		
1996	7/2/22	6:00:03	9.4		
1997	7/2/22	6:15:03	9.9		
1998	7/2/22	6:30:03	10.1		
1999	7/2/22	6:45:03	10.8		
2000	7/2/22	7:00:03	12		
2001	7/2/22	7:15:03	11.7		
2002	7/2/22	7:30:03	11.1		
2003	7/2/22	7:45:03	11.8		
2004	7/2/22	8:00:03	13.7		
2005	7/2/22	8:15:03	12.4		
2006	7/2/22	8:30:03	12.9		
2007	7/2/22	8:45:03	15.9		
2008	7/2/22	9:00:03	17.4		
2009	7/2/22	9:15:03	16.1		
2010	7/2/22	9:30:03	14.6		
2011	7/2/22	9:45:03	16		
2012	7/2/22	10:00:03	15.9		
2013	7/2/22	10:15:03	16.2		
2014	7/2/22	10:30:03	16.3		
2015	7/2/22	10:45:03	17.1		
2016	7/2/22	11:00:03	18		
2017	7/2/22	11:15:03	18.2		
2018	7/2/22	11:30:03	15.6		
2019	7/2/22	11:45:03	18.2		
2020	7/2/22	12:00:03	17.1		
2021	7/2/22	12:15:03	14.4		
2022	7/2/22	12:30:03	15.3		
2023	7/2/22	12:45:03	13.4		
2024	7/2/22	13:00:03	18.4		
2025	7/2/22	13:15:03	18		
2026	7/2/22	13:30:03	18.2		
2027	7/2/22	13:45:03	17.7		
2028	7/2/22	14:00:03	15		
2029	7/2/22	14:15:03	21.3		
2030	7/2/22	14:30:03	15.9		
