"Plot Title: 10908277"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 10908277, SEN S/N: 10908277)","Bad Battery (LGR S/N: 10908277, SEN S/N: 10908277)","End Of File (LGR S/N: 10908277, SEN S/N: 10908277)"
1,07/15/24 03:00:00 PM,74.964,,
2,07/15/24 03:15:00 PM,74.791,,
3,07/15/24 03:30:00 PM,74.271,,
4,07/15/24 03:45:00 PM,74.271,,
5,07/15/24 04:00:00 PM,74.446,,
6,07/15/24 04:15:00 PM,73.926,,
7,07/15/24 04:30:00 PM,73.753,,
8,07/15/24 04:45:00 PM,73.580,,
9,07/15/24 05:00:00 PM,73.407,,
10,07/15/24 05:15:00 PM,73.407,,
11,07/15/24 05:30:00 PM,73.407,,
12,07/15/24 05:45:00 PM,73.407,,
13,07/15/24 06:00:00 PM,73.234,,
14,07/15/24 06:15:00 PM,73.234,,
15,07/15/24 06:30:00 PM,73.062,,
16,07/15/24 06:45:00 PM,73.062,,
17,07/15/24 07:00:00 PM,73.062,,
18,07/15/24 07:15:00 PM,73.062,,
19,07/15/24 07:30:00 PM,73.234,,
20,07/15/24 07:45:00 PM,73.407,,
21,07/15/24 08:00:00 PM,73.407,,
22,07/15/24 08:15:00 PM,73.234,,
23,07/15/24 08:30:00 PM,73.234,,
24,07/15/24 08:45:00 PM,73.234,,
25,07/15/24 09:00:00 PM,73.234,,
26,07/15/24 09:15:00 PM,73.234,,
27,07/15/24 09:30:00 PM,73.234,,
28,07/15/24 09:45:00 PM,73.234,,
29,07/15/24 10:00:00 PM,73.062,,
30,07/15/24 10:15:00 PM,73.062,,
31,07/15/24 10:30:00 PM,73.062,,
32,07/15/24 10:45:00 PM,73.062,,
33,07/15/24 11:00:00 PM,73.062,,
34,07/15/24 11:15:00 PM,73.062,,
35,07/15/24 11:30:00 PM,72.891,,
36,07/15/24 11:45:00 PM,72.891,,
37,07/16/24 12:00:00 AM,72.891,,
38,07/16/24 12:15:00 AM,72.891,,
39,07/16/24 12:30:00 AM,72.718,,
40,07/16/24 12:45:00 AM,72.718,,
41,07/16/24 01:00:00 AM,72.718,,
42,07/16/24 01:15:00 AM,72.545,,
43,07/16/24 01:30:00 AM,72.545,,
44,07/16/24 01:45:00 AM,72.545,,
45,07/16/24 02:00:00 AM,72.372,,
46,07/16/24 02:15:00 AM,72.372,,
47,07/16/24 02:30:00 AM,72.372,,
48,07/16/24 02:45:00 AM,72.199,,
49,07/16/24 03:00:00 AM,72.199,,
50,07/16/24 03:15:00 AM,72.028,,
51,07/16/24 03:30:00 AM,72.028,,
52,07/16/24 03:45:00 AM,72.028,,
53,07/16/24 04:00:00 AM,72.028,,
54,07/16/24 04:15:00 AM,71.856,,
55,07/16/24 04:30:00 AM,71.856,,
